Nörgaard,29,DefensiveMidfield,Denmark,BrentfordFC,14
Jensen,27,CentralMidfield,Denmark,BrentfordFC,14
Dasilva,24,CentralMidfield,England,BrentfordFC,9
Onyeka,25,CentralMidfield,Nigeria,BrentfordFC,9
Baptiste,24,CentralMidfield,Grenada,BrentfordFC,3
Ghoddos,29,AttackingMidfield,Iran,BrentfordFC,2.2
Wissa,26,LeftWinger,DRCongo,BrentfordFC,15
Lewis-Potter,22,LeftWinger,England,BrentfordFC,15
Damsgaard,22,LeftWinger,Denmark,BrentfordFC,15
Mbeumo,23,RightWinger,Cameroon,BrentfordFC,28
Schade,21,RightWinger,Germany,BrentfordFC,20
Toney,27,Centre-Forward,England,BrentfordFC,50
Meslier,23,Goalkeeper,France,LeedsUnited,22
Klaesson,22,Goalkeeper,Norway,LeedsUnited,2
Robles,32,Goalkeeper,Spain,LeedsUnited,1.2
Koch,26,Centre-Back,Germany,LeedsUnited,18
Wöber,25,Centre-Back,Austria,LeedsUnited,12
Cooper,31,Centre-Back,Scotland,LeedsUnited,5
Struijk,23,Left-Back,NetherlandsU17,LeedsUnited,20
Firpo,26,Left-Back,DominicanRep.,LeedsUnited,12
Kristensen,25,Right-Back,Denmark,LeedsUnited,15
Ayling,31,Right-Back,England,LeedsUnited,2
Dallas,31,Right-Back,N.Ireland,LeedsUnited,2
Adams,24,DefensiveMidfield,USA,LeedsUnited,20
Roca,26,DefensiveMidfield,Spain,LeedsUnited,15
McKennie,24,CentralMidfield,USA,LeedsUnited,21
Forshaw,31,CentralMidfield,England,LeedsUnited,1.8
Aaronson,22,AttackingMidfield,USA,LeedsUnited,30
Greenwood,21,AttackingMidfield,England,LeedsUnited,4
Harrison,26,LeftWinger,England,LeedsUnited,22
Sinisterra,23,LeftWinger,Colombia,LeedsUnited,22
Gnonto,19,LeftWinger,Italy,LeedsUnited,18
Summerville,21,RightWinger,Netherlands,LeedsUnited,12
Rodrigo,32,SecondStriker,Spain,LeedsUnited,9
Rutter,20,Centre-Forward,FranceU21,LeedsUnited,22
Bamford,29,Centre-Forward,England,LeedsUnited,10
Johnstone,29,Goalkeeper,England,CrystalPalace,4
Guaita,36,Goalkeeper,Spain,CrystalPalace,1.5
Whitworth,19,Goalkeeper,EnglandU19,LeedsUnited,0.25
Guéhi,22,Centre-Back,England,CrystalPalace,35
Andersen,26,Centre-Back,Denmark,CrystalPalace,32
Richards,22,Centre-Back,USA,CrystalPalace,10
Ferguson,22,Centre-Back,England,CrystalPalace,2
Tomkins,33,Centre-Back,England,CrystalPalace,1
Mitchell,23,Left-Back,England,CrystalPalace,28
Clyne,31,Right-Back,England,CrystalPalace,3
Ward,33,Right-Back,England,CrystalPalace,2
Doucouré,23,DefensiveMidfield,Mali,CrystalPalace,30
Riedewald,26,DefensiveMidfield,Netherlands,CrystalPalace,4
Milivojevic,31,DefensiveMidfield,Serbia,CrystalPalace,2.5
Lokonga,23,CentralMidfield,Belgium,CrystalPalace,15
Ahamada,20,CentralMidfield,France,CrystalPalace,10
Hughes,27,CentralMidfield,England,CrystalPalace,5
McArthur,35,CentralMidfield,Scotland,CrystalPalace,0.7
Schlupp,30,LeftMidfield,Ghana,CrystalPalace,8
Eze,24,AttackingMidfield,England,CrystalPalace,30
Zaha,30,LeftWinger,IvoryCoast,CrystalPalace,27
Olise,21,RightWinger,FranceU21,CrystalPalace,27
Edouard,25,Centre-Forward,France,CrystalPalace,17
Mateta,25,Centre-Forward,France,CrystalPalace,9
Leno,31,Goalkeeper,Germany,FulhamFC,10
Rodak,26,Goalkeeper,Slovakia,FulhamFC,3.5
Diop,26,Centre-Back,France,FulhamFC,18
Adarabioyo,25,Centre-Back,England,FulhamFC,15
Duffy,31,Centre-Back,Ireland,FulhamFC,2.5
Ream,35,Centre-Back,USA,FulhamFC,1
Robinson,25,Left-Back,USA,FulhamFC,12
Kurzawa,30,Left-Back,France,FulhamFC,4
Tete,27,Right-Back,Netherlands,FulhamFC,12
Soares,31,Right-Back,Portugal,FulhamFC,4
Palhinha,27,DefensiveMidfield,Portugal,FulhamFC,35
Reed,28,CentralMidfield,England,FulhamFC,15
Lukic,26,CentralMidfield,Serbia,FulhamFC,13
Cairney,32,CentralMidfield,Scotland,FulhamFC,2
Francois,22,CentralMidfield,Australia,FulhamFC,0.5
Pereira,27,AttackingMidfield,Brazil,FulhamFC,16
DeCordova-Reid,30,AttackingMidfield,Jamaica,FulhamFC,7
Solomon,23,LeftWinger,Israel,FulhamFC,18
Kebano,31,LeftWinger,DRCongo,FulhamFC,3
Willian,34,LeftWinger,Brazil,FulhamFC,3
Wilson,26,RightWinger,Wales,FulhamFC,13
James,25,RightWinger,Wales,FulhamFC,13
Mitrović,28,Centre-Forward,Serbia,FulhamFC,28
CarlosVinícius,27,Centre-Forward,Brazil,FulhamFC,5
Neto,33,Goalkeeper,Brazil,AFCBournemouth,2.5
Travers,23,Goalkeeper,Ireland,AFCBournemouth,2
